,wave,gender,age,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,guess_prob_liked,met,decision,decision_o,match
1311,4.0,0,29.0,25.0,4.0,0,1.0,2.0,15.0,10.0,30.0,10.0,5.0,30.0,9.0,10.0,8.0,6.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,9.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,0.6,5.0,7.0,8.0,0.0,1,1,1
1313,4.0,0,29.0,27.0,2.0,0,1.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,6.0,6.0,3.0,4.0,10.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,9.0,9.0,9.0,6.0,7.0,8.0,7.0,8.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,0.5,5.0,6.0,5.0,0.0,0,0,0
1314,4.0,0,29.0,28.0,1.0,0,2.0,2.0,20.0,20.0,20.0,10.0,10.0,20.0,7.0,9.0,9.0,8.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,7.0,8.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.27,6.0,7.0,5.0,0.0,0,1,0
1315,4.0,0,29.0,26.0,3.0,1,2.0,2.0,18.0,18.0,18.0,19.0,13.0,14.0,5.0,7.0,7.0,8.0,5.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,-0.57,6.0,8.0,6.0,0.0,1,1,1
1320,4.0,0,29.0,30.0,1.0,0,2.0,2.0,20.0,25.0,25.0,15.0,5.0,10.0,8.0,9.0,10.0,10.0,8.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.17,6.0,7.5,6.0,0.0,1,1,1
1322,4.0,0,29.0,32.0,3.0,1,2.0,2.0,30.0,10.0,30.0,20.0,10.0,0.0,7.0,7.0,7.0,6.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,-0.15,6.0,6.5,6.0,0.0,0,1,0
1323,4.0,0,29.0,26.0,3.0,1,2.0,2.0,40.0,5.0,20.0,10.0,10.0,15.0,6.0,7.0,7.0,8.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,-0.06,6.0,7.0,6.0,0.0,1,0,0
1324,4.0,0,29.0,27.0,2.0,1,2.0,2.0,20.0,15.0,25.0,15.0,20.0,5.0,7.0,8.0,6.0,8.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.45,6.0,8.0,6.0,0.0,1,1,1
1325,4.0,0,29.0,25.0,4.0,0,2.0,2.0,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,8.0,7.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,-0.36,6.0,7.0,6.0,0.0,0,1,0
1326,4.0,0,29.0,22.0,7.0,0,2.0,2.0,10.0,20.0,35.0,10.0,5.0,20.0,9.0,10.0,10.0,8.0,8.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.37,6.0,7.0,6.0,0.0,0,1,0
1327,4.0,0,29.0,21.0,8.0,1,2.0,2.0,19.0,24.0,21.0,23.0,5.0,8.0,7.5,8.5,9.0,9.5,9.5,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.23,6.0,7.0,6.0,0.0,0,1,0
1328,4.0,0,29.0,24.0,5.0,1,2.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0,8.0,8.0,7.0,7.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.09,6.0,7.0,4.0,0.0,0,1,0
1329,4.0,0,29.0,25.0,4.0,0,2.0,2.0,15.0,10.0,30.0,10.0,5.0,30.0,7.0,10.0,8.0,7.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.34,6.0,7.0,6.0,0.0,0,1,0
1330,4.0,0,29.0,28.0,1.0,1,2.0,2.0,20.0,20.0,15.0,15.0,5.0,25.0,5.0,7.0,8.0,7.0,8.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,0.31,6.0,7.0,6.0,0.0,0,0,0
1331,4.0,0,29.0,27.0,2.0,0,2.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,7.0,7.0,5.0,5.0,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,-0.03,6.0,7.0,7.0,0.0,1,0,0
1332,4.0,1,28.0,34.0,6.0,0,6.0,8.0,10.0,10.0,30.0,20.0,10.0,20.0,5.0,5.0,5.0,10.0,8.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.21,5.0,7.0,7.0,0.0,1,1,1
1333,4.0,1,28.0,22.0,6.0,0,6.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0,4.0,7.0,8.0,10.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.56,5.0,7.0,7.0,0.0,1,1,1
1334,4.0,1,28.0,23.0,5.0,0,6.0,8.0,10.0,25.0,20.0,10.0,20.0,15.0,4.0,2.0,9.0,2.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,5.0,6.0,6.0,5.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.69,5.0,5.0,3.0,0.0,0,0,0
1335,4.0,1,28.0,26.0,2.0,1,6.0,8.0,10.0,20.0,15.0,20.0,20.0,15.0,5.0,6.0,7.0,6.0,9.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.27,5.0,8.0,6.0,0.0,0,0,0
1337,4.0,1,28.0,28.0,0.0,0,6.0,8.0,10.0,10.0,20.0,20.0,20.0,20.0,2.0,10.0,10.0,8.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.6,5.0,8.0,6.0,0.0,1,0,0
1338,4.0,1,28.0,25.0,3.0,0,6.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,10.0,10.0,9.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.29,5.0,8.0,7.0,0.0,1,1,1
1339,4.0,1,28.0,35.0,7.0,0,6.0,8.0,10.0,32.0,20.0,12.0,11.0,15.0,4.0,6.0,7.0,6.0,9.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.54,5.0,6.0,5.0,0.0,1,0,0
1340,4.0,1,28.0,32.0,4.0,0,6.0,8.0,30.0,30.0,30.0,5.0,0.0,5.0,1.0,5.0,0.0,10.0,0.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.65,5.0,5.0,5.0,0.0,0,0,0
1341,4.0,1,28.0,30.0,2.0,0,6.0,8.0,20.0,25.0,15.0,15.0,15.0,10.0,4.0,1.0,4.0,1.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.3,5.0,5.0,5.0,0.0,0,0,0
1342,4.0,1,28.0,22.0,6.0,0,6.0,8.0,15.0,20.0,20.0,20.0,5.0,20.0,5.0,7.0,8.0,9.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,6.0,8.0,8.0,8.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.27,5.0,6.0,7.0,0.0,1,0,0
1343,4.0,1,28.0,23.0,5.0,0,6.0,8.0,15.0,15.0,20.0,15.0,15.0,20.0,2.0,3.0,2.0,1.0,1.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.69,5.0,6.0,7.0,0.0,0,0,0
1344,4.0,1,28.0,23.0,5.0,0,6.0,8.0,15.0,15.0,20.0,15.0,20.0,15.0,1.0,2.0,10.0,1.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.73,5.0,5.0,5.0,0.0,0,0,0
1345,4.0,1,28.0,27.0,1.0,0,6.0,8.0,25.0,15.0,20.0,20.0,20.0,0.0,6.0,9.0,8.0,5.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.18,5.0,5.0,5.0,1.0,0,0,0
1346,4.0,1,28.0,23.0,5.0,1,6.0,8.0,15.0,21.0,18.0,18.0,10.0,18.0,0.0,5.0,5.0,0.0,9.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,5.0,6.0,9.0,3.0,3.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.37,5.0,3.0,3.0,0.0,0,0,0
1347,4.0,1,28.0,25.0,3.0,0,6.0,8.0,15.0,3.0,50.0,20.0,2.0,10.0,5.0,7.0,7.0,7.0,8.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.57,5.0,7.0,5.0,0.0,1,0,0
1348,4.0,1,28.0,29.0,1.0,0,6.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0,4.0,3.0,9.0,3.0,8.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,6.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.64,5.0,6.0,5.0,0.0,0,0,0
1349,4.0,1,28.0,29.0,1.0,0,6.0,8.0,14.0,20.0,18.0,24.0,18.0,6.0,6.0,6.0,7.0,7.0,8.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,6.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,0.27,5.0,7.0,5.0,0.0,1,0,0
1350,4.0,1,26.0,34.0,8.0,1,7.0,5.0,10.0,10.0,30.0,20.0,10.0,20.0,4.0,5.0,5.0,4.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,6.0,6.0,7.0,8.0,4.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.18,6.0,5.0,4.0,0.0,0,0,0
1351,4.0,1,26.0,22.0,4.0,1,7.0,5.0,15.0,20.0,20.0,20.0,15.0,10.0,4.0,6.0,6.0,6.0,5.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,4.0,6.0,5.0,6.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.2,6.0,4.0,4.0,0.0,0,0,0
1352,4.0,1,26.0,23.0,3.0,0,7.0,5.0,10.0,25.0,20.0,10.0,20.0,15.0,2.0,4.0,9.0,4.0,9.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,5.0,6.0,7.0,4.0,4.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.16,6.0,4.0,3.0,0.0,0,0,0
1353,4.0,1,26.0,26.0,0.0,0,7.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,5.0,6.0,6.0,5.0,5.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,4.0,7.0,7.0,6.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.04,6.0,5.0,3.0,0.0,0,0,0
1354,4.0,1,26.0,27.0,1.0,0,7.0,5.0,10.0,20.0,20.0,10.0,20.0,20.0,7.0,9.0,9.0,8.0,9.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,5.0,8.0,7.0,5.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.31,6.0,5.0,3.0,0.0,0,0,0
1355,4.0,1,26.0,28.0,2.0,1,7.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,3.0,7.0,7.0,5.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,6.0,6.0,6.0,8.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.21,6.0,6.0,5.0,0.0,1,0,0
1356,4.0,1,26.0,25.0,1.0,0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,8.0,7.0,5.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,4.0,6.0,5.0,6.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.25,6.0,4.0,6.0,0.0,0,0,0
1357,4.0,1,26.0,35.0,9.0,0,7.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0,5.0,6.0,8.0,7.0,8.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,7.0,7.0,8.0,6.0,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.03,6.0,6.0,5.0,0.0,1,0,0
1358,4.0,1,26.0,32.0,6.0,0,7.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0,5.0,8.0,7.0,5.0,5.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,5.0,7.0,6.0,6.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.03,6.0,5.0,4.0,0.0,0,0,0
1359,4.0,1,26.0,30.0,4.0,1,7.0,5.0,20.0,25.0,15.0,15.0,15.0,10.0,5.0,6.0,7.0,5.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,5.0,7.0,6.0,6.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.37,6.0,5.0,3.0,0.0,0,0,0
1360,4.0,1,26.0,22.0,4.0,1,7.0,5.0,15.0,20.0,20.0,20.0,5.0,20.0,6.0,8.0,6.0,7.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.3,6.0,9.0,8.0,0.0,1,0,0
1361,4.0,1,26.0,23.0,3.0,1,7.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,2.0,2.0,2.0,2.0,2.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,6.0,7.0,6.0,6.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.21,6.0,6.0,4.0,0.0,0,0,0
1362,4.0,1,26.0,23.0,3.0,1,7.0,5.0,15.0,15.0,20.0,15.0,20.0,15.0,2.0,10.0,10.0,2.0,10.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,6.0,7.0,7.0,7.0,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.3,6.0,7.0,6.0,0.0,1,0,0
1363,4.0,1,26.0,27.0,1.0,1,7.0,5.0,25.0,15.0,20.0,20.0,20.0,0.0,6.0,9.0,8.0,7.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,3.0,5.0,6.0,4.0,6.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.31,6.0,2.0,1.0,0.0,0,0,0
1364,4.0,1,26.0,23.0,3.0,0,7.0,5.0,15.0,21.0,18.0,18.0,10.0,18.0,8.0,8.0,7.0,8.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,3.0,8.0,5.0,4.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,0.32,6.0,3.0,2.0,0.0,0,1,0
1365,4.0,1,26.0,25.0,1.0,0,7.0,5.0,15.0,3.0,50.0,20.0,2.0,10.0,5.0,6.0,6.0,6.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.12,6.0,7.0,6.0,0.0,1,0,0
1366,4.0,1,26.0,29.0,3.0,1,7.0,5.0,10.0,20.0,20.0,20.0,20.0,10.0,4.0,8.0,9.0,4.0,8.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,6.0,6.0,7.0,7.0,4.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.23,6.0,6.0,4.0,0.0,1,0,0
1367,4.0,1,26.0,29.0,3.0,1,7.0,5.0,14.0,20.0,18.0,24.0,18.0,6.0,7.0,8.0,7.0,7.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,5.0,7.0,7.0,8.0,5.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,-0.57,6.0,6.0,5.0,0.0,1,1,1
1370,4.0,1,26.0,23.0,3.0,1,3.0,6.0,10.0,25.0,20.0,10.0,20.0,15.0,2.0,5.0,9.0,2.0,9.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.55,7.0,6.0,6.0,0.0,0,0,0
1371,4.0,1,26.0,26.0,0.0,0,3.0,6.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,7.0,7.0,5.0,5.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.49,7.0,9.0,8.0,1.0,1,0,0
1375,4.0,1,26.0,35.0,9.0,1,3.0,6.0,10.0,32.0,20.0,12.0,11.0,15.0,4.0,8.0,8.0,5.0,7.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0,6.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.32,7.0,7.0,6.0,0.0,0,0,0
1376,4.0,1,26.0,32.0,6.0,1,3.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,5.0,8.0,8.0,6.0,6.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.44,7.0,8.0,7.0,0.0,1,0,0
1381,4.0,1,26.0,27.0,1.0,0,3.0,6.0,25.0,15.0,20.0,20.0,20.0,0.0,6.0,10.0,9.0,7.0,8.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.64,7.0,7.0,7.0,0.0,1,0,0
1382,4.0,1,26.0,23.0,3.0,0,3.0,6.0,15.0,21.0,18.0,18.0,10.0,18.0,5.0,5.0,6.0,5.0,6.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,6.0,8.0,7.0,6.0,6.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.13,7.0,6.0,7.0,0.0,0,0,0
1383,4.0,1,26.0,25.0,1.0,0,3.0,6.0,15.0,3.0,50.0,20.0,2.0,10.0,4.0,6.0,6.0,6.0,6.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,0.28,7.0,8.0,7.0,0.0,1,0,0
1387,4.0,1,29.0,22.0,7.0,1,4.0,1.0,15.0,20.0,20.0,20.0,15.0,10.0,6.0,5.0,6.0,7.0,6.0,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,6.0,9.0,9.0,9.0,6.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,-0.05,5.0,6.0,4.0,0.0,1,1,1
